fid,name,latitude,longitude,gebied,domeinen,website,koepels
68,Verhalenhuis Belvedere,51.901,4.484,Katendrecht,"Cultuur; Community",https://verhalenhuisrotterdam.nl/,Welzijnscoalitie
69,Wijkcoöperatie Crooswijk,51.932,4.495,Crooswijk,Community,,Welzijnscoalitie
70,Vreewijk coöperatie,51.886,4.512,Vreewijk,Community,https://www.vreewijkcooperatie.nl/,Welzijnscoalitie
71,Botucoöp (in oprichting),51.913,4.442,Bospolder-Tussendijken,Community,,Welzijnscoalitie
72,ZOHOCITIZENS Ondernemerscollectief,51.928,4.482,Zomerhofkwartier,"Werken; Community",https://zohorotterdam.nl/,Rotterdam Circulair
73,Wijkcoöperatie Noord (in oprichting),51.935,4.475,Rotterdam-Noord,Community,,Welzijnscoalitie
74,Energie van Rotterdam,51.920,4.480,Centrum,"Energie; Community",,Energie van Rotterdam
75,Nationaal Park Rotterdam,51.922,4.467,Rotterdam,"Groen",,Groen010
76,Stadskwekerij - De KAS,51.928,4.455,Blijdorp,"Groen; Voedsel",https://stadskwekerijdekas.nl/,Groen010
77,Beheercooperatie W1555,51.892,4.475,Oud-Charlois,"Community; Wonen",https://www.w1555.org/about-1,Energie van Rotterdam
78,Bewonersvereniging Stampioendwarsstraten,51.910,4.502,Feijenoord,"Groen",https://www.stampioendwarsstraten.nl/,Groen010
79,Kralingen aan de Maas,51.918,4.515,Kralingen-Crooswijk,"Wonen; Community",https://kralingenaandemaas.nl/,Welzijnscoalitie
80,Rotterdams Tij,51.912,4.505,Feijenoord,"Groen; Educatie",https://rotterdams-tij.nl/,Groen010
81,Buurtcollectief De Esch,51.915,4.525,De Esch,"Community",https://www.buurtcollectiefdeesch.nl/projecten/,Welzijnscoalitie
82,RoCoCo,51.920,4.485,Rotterdam,"Wonen; Community",,Energie van Rotterdam
83,Wijkwijs (onderzoek),51.920,4.440,Rotterdam,Educatie,https://wijkwijs.nl/,Welzijnscoalitie
84,Essajo,51.918,4.425,Mathenesse,"Werken; Educatie",https://www.stichtingessajo.com/,Rotterdam Circulair
85,Recht op de stad,51.915,4.475,Rotterdam,"Wonen",https://rechtopdestad.nl/,Welzijnscoalitie
86,Stadslab zeggenschap,51.915,4.476,Rotterdam,"Wonen",,Welzijnscoalitie
87,Buurtklimaatje,51.920,4.450,Rotterdam,"Groen; Wonen",https://www.buurtklimaatje.nl/,Groen010
88,City Forest Communities,51.875,4.485,Pendrecht,Groen,https://www.pinarbalat.com/city-forest-communities,Groen010
89,Buitenplaats Brienenoord,51.905,4.545,Eiland van Brienenoord,"Groen; Cultuur",https://www.buitenplaatsbrienenoord.nl/,Groen010
90,Rotterdamse Munt,51.905,4.505,Rotterdam,"Groen; Voedsel",,Groen010
91,Kunstlab,51.910,4.445,Rotterdam,"Cultuur; Werkplaats",,Welzijnscoalitie
92,Stichting Hart voor Prins Alexander,51.945,4.555,Prins Alexander,"Cultuur; Community",https://sites.google.com/shvpa.nl/stichting,Welzijnscoalitie
93,CPO De Stichting,51.920,4.490,Rotterdam,Cultuur,https://www.cpodestichting.nl/,Welzijnscoalitie
94,N8W8,51.920,4.480,Rotterdam,Cultuur,https://n8w8rdam.nl/,Welzijnscoalitie
95,Mobility challenge Hoogkwartier,51.922,4.492,Hoogkwartier,Mobiliteit,https://mchoogkwartier.nl/,Welzijnscoalitie
96,Rotterdam loopt,51.920,4.480,Rotterdam,"Zorg; Community; Mobiliteit",https://www.burgerpanelrotterdam.nl/rotterdam-loopt/,Groen010
97,Coöperatie Wijkmobiliteit Rotterdam,51.920,4.480,Rotterdam,"Community; Mobiliteit",,Welzijnscoalitie
98,Coöperatie de veldfabriek Rotterdam,51.920,4.440,Rotterdam,"Voedsel; Circulair",https://www.veldfabriek.nl/,Rotterdam Circulair
99,Biobulkbende,51.920,4.445,Rotterdam,"Voedsel; Circulair",,Rotterdam Circulair
100,Mensa Mensa,51.925,4.440,Rotterdam,"Voedsel; Community",https://mensa-mensa.nl/,Welzijnscoalitie
101,Sponstuin,51.930,4.460,Rotterdam,"Voedsel; Groen",,Groen010
102,Nieuwe Instituut,51.918,4.472,Rotterdam,Cultuur,,Welzijnscoalitie
103,De Urbanisten,51.908,4.433,Rotterdam,Cultuur,,Rotterdam Circulair
104,Rotterdams Weerwoord,51.920,4.480,Rotterdam,Klimaat,,Energie van Rotterdam
105,Centraal Wonen Zevenkamp,51.945,4.580,Zevenkamp,Wonen,,Energie van Rotterdam
106,Blijstroom,51.935,4.475,Rotterdam-Noord,Energie,,Energie van Rotterdam
